id,nombre,correo,asunto,equipo,mensaje,codigoRecibo,prioridad,fechaRegistro,status,idUsuario,fechaConclusion,activo
1,Benny Fitzgerald,benny.fitzgerald@yahoo.com,"Et iusto odio dignissimos ducimus, qui blanditiis praesentium voluptatum deleniti atque corrupti, quos dolores et quas molestias excepturi sint, obcaecati cupiditate non provident, similique.","Et iusto odio dignissimos ducimus, qui blanditiis praesentium voluptatum deleniti atque corrupti, quos dolores et quas molestias excepturi sint, obcaecati cupiditate non provident, similique.","Et iusto odio dignissimos ducimus, qui blanditiis praesentium voluptatum deleniti atque corrupti, quos dolores et quas molestias excepturi sint, obcaecati cupiditate non provident, similique.",CIK-086186-F,Alta,2024-11-09T16:57:27+00:00,Open,11,2024-11-09T16:57:27+00:00,0
2,Ellsworth Balnaves,ellsworth.balnaves@yahoo.com.br,Totum Epicurum paene e philosophorum choro sustulisti. Quid.,Totum Epicurum paene e philosophorum choro sustulisti. Quid.,Totum Epicurum paene e philosophorum choro sustulisti. Quid.,RIO-297924-S,Media,2024-03-08T17:48:21+00:00,Resolved,33,2024-03-08T17:48:21+00:00,1
3,Rosabelle Mulqueeny,rosabelle.mulqueeny@hotmail.com,"Epicuri sententiae satis notae sunt. Atque eos, quos nominavi, cum inciderit, ut id apte fieri possit, ut ab.","Epicuri sententiae satis notae sunt. Atque eos, quos nominavi, cum inciderit, ut id apte fieri possit, ut ab.","Epicuri sententiae satis notae sunt. Atque eos, quos nominavi, cum inciderit, ut id apte fieri possit, ut ab.",GRO-759516-F,Alta,2024-03-31T22:04:29+00:00,Closed,40,2024-03-31T22:04:29+00:00,1
4,Kerry Carruth,kerry.carruth@hotmail.com,"Ipsos diligamus, idcirco et hoc ipsum efficitur in amicitia, et amicitia cum voluptate vivere. Nec enim habet nostra mens quicquam, ubi consistat tamquam in extremo, omnesque.","Ipsos diligamus, idcirco et hoc ipsum efficitur in amicitia, et amicitia cum voluptate vivere. Nec enim habet nostra mens quicquam, ubi consistat tamquam in extremo, omnesque.","Ipsos diligamus, idcirco et hoc ipsum efficitur in amicitia, et amicitia cum voluptate vivere. Nec enim habet nostra mens quicquam, ubi consistat tamquam in extremo, omnesque.",IZW-239374-V,Baja,2024-06-28T19:57:11+00:00,Open,64,2024-06-28T19:57:11+00:00,1
5,Phylis Tye,phylis.tye@aol.com,"Memoria voluptatis affert? Nec mihi illud dixeris: 'Haec enim ipsa mihi sunt voluptati, et erant illa Torquatis.' Numquam hoc ita defendit Epicurus neque Metrodorus.","Memoria voluptatis affert? Nec mihi illud dixeris: 'Haec enim ipsa mihi sunt voluptati, et erant illa Torquatis.' Numquam hoc ita defendit Epicurus neque Metrodorus.","Memoria voluptatis affert? Nec mihi illud dixeris: 'Haec enim ipsa mihi sunt voluptati, et erant illa Torquatis.' Numquam hoc ita defendit Epicurus neque Metrodorus.",EIW-460131-E,Alta,2024-06-15T17:49:05+00:00,Closed,60,2024-06-15T17:49:05+00:00,0
6,Davidde Pendleton,davidde.pendleton@ymail.com,"Ortum esse e corpore et ad dolores ita paratus est, ut meminerit maximos morte finiri, parvos multa habere intervalla requietis, mediocrium nos esse dominos, ut, si tolerabiles sint, feramus, si minus, animo aequo e vita, cum ea non placeat.","Ortum esse e corpore et ad dolores ita paratus est, ut meminerit maximos morte finiri, parvos multa habere intervalla requietis, mediocrium nos esse dominos, ut, si tolerabiles sint, feramus, si minus, animo aequo e vita, cum ea non placeat.","Ortum esse e corpore et ad dolores ita paratus est, ut meminerit maximos morte finiri, parvos multa habere intervalla requietis, mediocrium nos esse dominos, ut, si tolerabiles sint, feramus, si minus, animo aequo e vita, cum ea non placeat.",TAH-860027-V,Baja,2024-02-25T05:10:36+00:00,Cancelled,30,2024-02-25T05:10:36+00:00,0
7,Kevan Salterne,kevan.salterne@optonline.net,"Minime esse deterritum. Quae cum tota res (est) ficta pueriliter, tum ne.","Minime esse deterritum. Quae cum tota res (est) ficta pueriliter, tum ne.","Minime esse deterritum. Quae cum tota res (est) ficta pueriliter, tum ne.",NIO-236918-E,Media,2023-11-26T00:35:31+00:00,In Progress,5,2023-11-26T00:35:31+00:00,1
8,Clarke Larose,clarke.larose@ig.com.br,"Movet et cum iucunditate quadam percipitur sensibus, sed maximam.","Movet et cum iucunditate quadam percipitur sensibus, sed maximam.","Movet et cum iucunditate quadam percipitur sensibus, sed maximam.",EJC-392942-J,Media,2024-09-03T08:08:46+00:00,Closed,82,2024-09-03T08:08:46+00:00,1
9,Nefen Macek,nefen.macek@gmail.com,"Praesentibus non fruuntur, futura modo expectant, quae quia certa esse non possunt et, si essent vera, nihil afferrent, quo iucundius, id est quo melius viveremus, eas ergo artes.","Praesentibus non fruuntur, futura modo expectant, quae quia certa esse non possunt et, si essent vera, nihil afferrent, quo iucundius, id est quo melius viveremus, eas ergo artes.","Praesentibus non fruuntur, futura modo expectant, quae quia certa esse non possunt et, si essent vera, nihil afferrent, quo iucundius, id est quo melius viveremus, eas ergo artes.",OMG-378872-S,Alta,2024-06-19T04:39:43+00:00,On Hold,61,2024-06-19T04:39:43+00:00,0
10,Cicily Audley,cicily.audley@hotmail.com,"Vita suppetet; et tamen, qui diligenter haec, quae vitam omnem continent, neglegentur? Nam, ut sint illa vendibiliora, haec.","Vita suppetet; et tamen, qui diligenter haec, quae vitam omnem continent, neglegentur? Nam, ut sint illa vendibiliora, haec.","Vita suppetet; et tamen, qui diligenter haec, quae vitam omnem continent, neglegentur? Nam, ut sint illa vendibiliora, haec.",SIA-783507-U,Media,2024-01-04T10:16:53+00:00,Closed,16,2024-01-04T10:16:53+00:00,0
11,Stacee Bente,stacee.bente@yahoo.com,"Mens quicquam, ubi consistat tamquam in.","Mens quicquam, ubi consistat tamquam in.","Mens quicquam, ubi consistat tamquam in.",GBK-406242-A,Alta,2024-09-12T04:23:46+00:00,In Progress,47,2024-09-12T04:23:46+00:00,1
12,Husain Fewlass,husain.fewlass@hotmail.fr,"Sed ex eo perciperet corpore voluptatem, aut cum Latinis tertio consulatu conflixisse apud Veserim propter voluptatem; cum autem usus progrediens.","Sed ex eo perciperet corpore voluptatem, aut cum Latinis tertio consulatu conflixisse apud Veserim propter voluptatem; cum autem usus progrediens.","Sed ex eo perciperet corpore voluptatem, aut cum Latinis tertio consulatu conflixisse apud Veserim propter voluptatem; cum autem usus progrediens.",ZWW-410960-U,Baja,2024-07-07T23:33:09+00:00,Cancelled,47,2024-07-07T23:33:09+00:00,0
13,Nannette Siehard,nannette.siehard@hotmail.com,"Utens nihil quieti videre, nihil tranquilli potest. Quodsi corporis gravioribus morbis vitae iucunditas impeditur, quanto magis animi morbis impediri necesse est! Animi autem voluptates et dolores nasci fatemur e corporis.","Utens nihil quieti videre, nihil tranquilli potest. Quodsi corporis gravioribus morbis vitae iucunditas impeditur, quanto magis animi morbis impediri necesse est! Animi autem voluptates et dolores nasci fatemur e corporis.","Utens nihil quieti videre, nihil tranquilli potest. Quodsi corporis gravioribus morbis vitae iucunditas impeditur, quanto magis animi morbis impediri necesse est! Animi autem voluptates et dolores nasci fatemur e corporis.",WVG-949574-V,Media,2024-04-29T01:29:34+00:00,On Hold,56,2024-04-29T01:29:34+00:00,0
14,Bernice Ronca,bernice.ronca@gmail.com,Cum ipsi naturae patrioque amori praetulerit ius maiestatis atque imperii.,Cum ipsi naturae patrioque amori praetulerit ius maiestatis atque imperii.,Cum ipsi naturae patrioque amori praetulerit ius maiestatis atque imperii.,LOF-588600-Q,Baja,2024-04-26T14:06:59+00:00,Closed,66,2024-04-26T14:06:59+00:00,1
15,Carmella Dusting,carmella.dusting@ymail.com,Nisi cum voluptate vivatur. Quoniam autem id est laborum et dolorum fuga. Et harum quidem rerum facilis est et ad tranquillitatem ferant.,Nisi cum voluptate vivatur. Quoniam autem id est laborum et dolorum fuga. Et harum quidem rerum facilis est et ad tranquillitatem ferant.,Nisi cum voluptate vivatur. Quoniam autem id est laborum et dolorum fuga. Et harum quidem rerum facilis est et ad tranquillitatem ferant.,XZX-281977-D,Alta,2024-01-29T00:03:15+00:00,Cancelled,34,2024-01-29T00:03:15+00:00,1
16,Janek Boorman,janek.boorman@yahoo.com,"Animum, ne quod aut sempiternum.","Animum, ne quod aut sempiternum.","Animum, ne quod aut sempiternum.",IDG-298145-W,Baja,2024-05-30T16:28:10+00:00,In Progress,57,2024-05-30T16:28:10+00:00,1
17,Case Baldery,case.baldery@hotmail.com,"Diu sit in corpore. Non placet autem detracta voluptate aegritudinem statim consequi, nisi in voluptatis.","Diu sit in corpore. Non placet autem detracta voluptate aegritudinem statim consequi, nisi in voluptatis.","Diu sit in corpore. Non placet autem detracta voluptate aegritudinem statim consequi, nisi in voluptatis.",DOE-095758-P,Media,2024-01-03T19:02:57+00:00,Resolved,94,2024-01-03T19:02:57+00:00,0
18,Rollo Pyne,rollo.pyne@gmail.com,Artifex conquirendae et comparandae voluptatis.,Artifex conquirendae et comparandae voluptatis.,Artifex conquirendae et comparandae voluptatis.,KNR-259478-D,Baja,2024-07-07T06:36:28+00:00,On Hold,71,2024-07-07T06:36:28+00:00,1
19,Ruth Maulkin,ruth.maulkin@aol.com,"Choro sustulisti. Quid ei reliquisti, nisi te, quoquo modo loqueretur, intellegere, quid diceret? Aliena dixit in physicis nec ea ipsa, quae tibi probarentur; si qua in iis corrigere voluit, deteriora fecit. Disserendi artem.","Choro sustulisti. Quid ei reliquisti, nisi te, quoquo modo loqueretur, intellegere, quid diceret? Aliena dixit in physicis nec ea ipsa, quae tibi probarentur; si qua in iis corrigere voluit, deteriora fecit. Disserendi artem.","Choro sustulisti. Quid ei reliquisti, nisi te, quoquo modo loqueretur, intellegere, quid diceret? Aliena dixit in physicis nec ea ipsa, quae tibi probarentur; si qua in iis corrigere voluit, deteriora fecit. Disserendi artem.",LOI-057780-Q,Alta,2024-08-02T21:39:32+00:00,Cancelled,58,2024-08-02T21:39:32+00:00,0
20,Darci Pennuzzi,darci.pennuzzi@uol.com.br,"Sunt in culpa qui officia deserunt mollit anim id est in Ceramico Chrysippi sedentis porrecta manu, quae manus significet illum in hae esse rogatiuncula delectatum: 'Numquidnam manus tua sic affecta, quem ad modum.","Sunt in culpa qui officia deserunt mollit anim id est in Ceramico Chrysippi sedentis porrecta manu, quae manus significet illum in hae esse rogatiuncula delectatum: 'Numquidnam manus tua sic affecta, quem ad modum.","Sunt in culpa qui officia deserunt mollit anim id est in Ceramico Chrysippi sedentis porrecta manu, quae manus significet illum in hae esse rogatiuncula delectatum: 'Numquidnam manus tua sic affecta, quem ad modum.",GSJ-907694-X,Media,2024-03-10T11:36:28+00:00,In Progress,91,2024-03-10T11:36:28+00:00,0
21,Saunderson Jillitt,saunderson.jillitt@hotmail.com,"Et ii quidem eruditi Graecis litteris, contemnentes Latinas, qui se plane Graecum dici velit, ut a Scaevola est.","Et ii quidem eruditi Graecis litteris, contemnentes Latinas, qui se plane Graecum dici velit, ut a Scaevola est.","Et ii quidem eruditi Graecis litteris, contemnentes Latinas, qui se plane Graecum dici velit, ut a Scaevola est.",GJY-736673-S,Baja,2024-06-02T19:48:28+00:00,Closed,24,2024-06-02T19:48:28+00:00,1
