id,nombre,apellido1,apellido2,correo,telefono,puesto,activo
1,Lucretia,Dunkerley,Dunkerley,lucretia.dunkerley@hotmail.com,2876320633,Desarrollador,1
2,Eydie,O'Moylane,O'Moylane,eydie.o'moylane@ymail.com,6477364094,Consultor,1
3,Wat,Suarez,Suarez,wat.suarez@yahoo.com,6884668686,Consultor,0
4,Krissy,Grinston,Grinston,krissy.grinston@gmail.com,2125674684,Consultor,1
5,Gertrud,Levensky,Levensky,gertrud.levensky@yahoo.fr,1723975582,Administrador de Sistemas,0
6,Jerald,Mulrenan,Mulrenan,jerald.mulrenan@hotmail.com,5508997632,Marketing,1
7,Sandi,Toderi,Toderi,sandi.toderi@bol.com.br,5066572748,Analista de Datos,0
8,Bendix,Morritt,Morritt,bendix.morritt@gmail.com,9788594755,Soporte Técnico,0
9,Judi,Dreus,Dreus,judi.dreus@gmail.com,8876510978,Soporte Técnico,1
10,Tedda,Legh,Legh,tedda.legh@aliceadsl.fr,5622655130,Ingeniero de Software,0
11,Gretchen,Bunton,Bunton,gretchen.bunton@hotmail.com,6503330055,Ingeniero de Software,1
12,Tamarra,Guerreiro,Guerreiro,tamarra.guerreiro@qq.com,1297576037,Soporte Técnico,0
13,Krissy,Verrills,Verrills,krissy.verrills@gmail.com,9189961888,Ventas,0
14,Valentijn,Justham,Justham,valentijn.justham@rocketmail.com,9753174667,Ingeniero de Software,1
15,Stefano,Massow,Massow,stefano.massow@hotmail.com,9475368867,Consultor,0
16,Rourke,Papen,Papen,rourke.papen@live.fr,0476008702,Ingeniero de Software,0
17,Mab,Hook,Hook,mab.hook@gmx.de,6118058687,Ventas,0
18,Evita,O'Fallon,O'Fallon,evita.o'fallon@yahoo.com,9081529499,Soporte Técnico,1
19,Kenton,Grime,Grime,kenton.grime@hotmail.com,4439480793,Ventas,0
20,Kelwin,Orsi,Orsi,kelwin.orsi@yahoo.com,3506243544,Consultor,1
21,Fionnula,Keyzman,Keyzman,fionnula.keyzman@gmail.com,5467707889,Diseñador,0
22,Johna,Grainge,Grainge,johna.grainge@hotmail.com,6910432759,Ingeniero de Software,1
23,Marlee,Alven,Alven,marlee.alven@yahoo.com,3675026126,Gerente de Proyecto,1
24,Dulcine,Rickwood,Rickwood,dulcine.rickwood@gmail.com,0533495878,Ingeniero de Software,0
25,Amity,McCrae,McCrae,amity.mccrae@hotmail.com,6760167844,Ingeniero de Software,1
26,Wolfy,Guiett,Guiett,wolfy.guiett@hotmail.com,4802991535,Gerente de Proyecto,1
27,Danila,Mocquer,Mocquer,danila.mocquer@gmail.com,0420506752,Soporte Técnico,0
28,Ransell,Purkiss,Purkiss,ransell.purkiss@gmail.com,7659935386,Ingeniero de Software,0
29,Courtney,Emsden,Emsden,courtney.emsden@bol.com.br,4014735461,Desarrollador,0
30,Gregorio,Onraet,Onraet,gregorio.onraet@yahoo.com,2468516466,Analista de Datos,0
31,Mord,Cawker,Cawker,mord.cawker@yahoo.com,7622129379,Administrador de Sistemas,0
32,Karlens,McIlwraith,McIlwraith,karlens.mcilwraith@live.fr,2972608913,Diseñador,0
33,Abbie,Yesipov,Yesipov,abbie.yesipov@yahoo.com,4103706891,Consultor,1
34,Corene,Ritson,Ritson,corene.ritson@hotmail.com,6568783315,Marketing,0
35,Dodie,Brizell,Brizell,dodie.brizell@yahoo.com,5349086220,Analista de Datos,0
36,Pammi,Macklam,Macklam,pammi.macklam@gmail.com,4718802371,Soporte Técnico,0
37,Hallie,McGinn,McGinn,hallie.mcginn@gmail.com,5032241280,Administrador de Sistemas,1
